Timestamp_ms,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Unbiased_Filt_Accel_X,Unbiased_Filt_Accel_Y,Raw_Omega_Z_degs,Unbiased_Omega_Z_rads,IMU_Roll_deg,IMU_Pitch_deg,IMU_Yaw_deg,GPS_Lat,GPS_Lon,GPS_GroundSpeed_kmh,GPS_Satellites,GPS_HDOP,GPS_Local_X_m,GPS_Local_Y_m,EKF_ap_X_m,EKF_ap_Y_m,EKF_av_X_mps,EKF_av_Y_mps,EKF_q_W,EKF_q_X,EKF_q_Y,EKF_q_Z,EKF_ba_X_mps2,EKF_ba_Y_mps2,EKF_bg_Z_rads,EKF_Yaw_deg,P_ap_X,P_ap_Y,P_av_X,P_av_Y,P_q_W,P_ba_X,P_ba_Y,P_bg_Z,R_delta_pos_X,R_delta_pos_Y,Q_av,Q_q,Q_ba,Q_bg,ZUPT_Actived,EKF_Status,Delta_T_s
6709,0.0574,0.0574,9.8239,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,12.5543,1.0095,0.5056,0.0056,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
6914,0.0144,0.0,9.8096,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,12.9632,1.0119,0.5061,0.0061,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
7118,-0.067,-0.0622,9.7474,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,13.4028,1.0146,0.5065,0.0065,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
7323,-0.0239,0.0383,9.7617,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,13.8731,1.0178,0.5069,0.0069,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
7528,-0.0718,-0.0096,9.7713,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,14.3737,1.0213,0.5074,0.0074,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
7733,0.0239,0.067,9.8383,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,14.9049,1.0253,0.5078,0.0078,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
7938,0.0,-0.0766,9.7665,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,15.4665,1.0298,0.5082,0.0082,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
8142,-0.0526,-0.0622,9.733,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,16.0587,1.0347,0.5087,0.0087,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
8347,-0.0718,-0.0096,9.7713,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,16.6817,1.0402,0.5091,0.0091,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
8552,0.0622,-0.1148,9.8287,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,17.3357,1.0463,0.5095,0.0095,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
8757,0.0,0.0,9.7761,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,18.0202,1.0529,0.51,0.01,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
8962,0.0526,0.0622,9.8239,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,18.7355,1.0601,0.5104,0.0104,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
9167,-0.0383,-0.1101,9.7187,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,19.4815,1.0679,0.5108,0.0108,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
9371,-0.0287,0.0096,9.7856,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,20.2582,1.0764,0.5113,0.0113,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
